Tweet ID,Text,Final Decision,Assigned To,Label_eden,Reasons_eden,Label_lior,Reasons_lior,Label_ofek,Reasons_ofek,Label_אורי כהן,Reasons_אורי כהן,Label_אילון כהן,Reasons_אילון כהן,Label_אריאל כהן,Reasons_אריאל כהן,Label_בנימין ווליך,Reasons_בנימין ווליך,Label_הודיה עופרי,Reasons_הודיה עופרי,Label_הילי חכמי,Reasons_הילי חכמי,Label_זיו חסון,Reasons_זיו חסון,Label_ענה-יה אך,Reasons_ענה-יה אך,Label_צבי גופרי,Reasons_צבי גופרי,Label_תומר חוכימה,Reasons_תומר חוכימה
k3il6i8p6,"The rawafidh Shia animals shouldnt govern any country, the duas of the oppressed are being answered and Allah swt is taking revenge on them.","Salafi taklidi","אורי כהן;זיו חסון","","","","","","","Salafi jihadi","ד. תמיכה בתכפיר קולקטיבי","","","","","","","","","","","Salafi taklidi","","","","","","",""
kr6dsf558,"""How despicable a trait that one twists the words of his Salafi brother""","Salafi taklidi","אילון כהן;ענה-יה אך","","","","","","","","","Salafi taklidi","","","","","","","","","","","","Salafi taklidi","","","","",""
672n3bxv0,"Says who?","Irrelevant","אריאל כהן;צבי גופרי","","","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","",""
aiwrmpe8s,"""Its likely that the Saudi populous and pro-Saudi Madkhalis will now suddenly start talking about the Kufr of the UAE, lol. In response, they will likely be labeled muslim brotherhood influenced by the UAE-Madkhalis. These Zanadiqa are too predictable, and base their Wala and Bara on Saudi/UAE foreign policy. Apparently Kufr Bawh to them only becomes clear and manifest when Saudi doesnt like a certain countrys foreign policy.""","Salafi jihadi","בנימין ווליך;אורי כהן","","","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב; ביקורת על סלאפים תקלידיים","","","","","","","","","","","",""
ks4koas3u,"""""@PenofthePaladin @meowbundi What khariji level is this 
""
--------------

These hardocre Takfiris, including Ridvan, are mentally unstable
We either take them too seriously or mock them or both
Most are attention seekers and engaging with them only fuels that
Better to ignore or block
Lost individuals unlikely to ever live normal lives
Allah help them","Salafi taklidi","הודיה עופרי;אילון כהן","","","","","","","","","Salafi taklidi","","","","","","Irrelevant","","","","","","","","","","",""
ljn3c7goj,"""This Ummah is blessed &amp; bountiful.

- Shaykh al-Muhaddith Sulaymaan al-Alwaan","Salafi jihadi","הילי חכמי;אריאל כהן","","","","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","","","",""
ba72p8p77,"""This individual was inciting against rebellions after Syria fell to HTS.

He says this yet, if we apply this today then all of a sudden Maslaha, Wallahi do not be chaotic

Every Mujahideen group they label Khariji and they warn against.

A people of slogans and no substance.""","Salafi jihadi","זיו חסון;בנימין ווליך","","","","","","","","","","","","","Salafi jihadi","ח. אחר","","","","","Salafi jihadi","ח. אחר","","","","","",""
lqpwg2aw5,"""           
Imam Al-Shafii   said: It has reached us that while Ali    was delivering a sermon, he heard an exclamation from within the mosque:","Irrelevant","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","",""
rpdhl2ur3,"""Hamas Is Not Going To Give Victory To Islaam  Shaykh Muqbil Bin Hadi Al-Wadiee","Salafi taklidi","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","",""
l5ilup44b,"""Al-Istiqaama to be sincere to fulfill the commandments of Allah, keep away from prohibited and not be like the dodgy fox
    """"         
        
Tafseer alBaghawi""","Irrelevant","אורי כהן;זיו חסון","","","","","","","Salafi taklidi","","","","","","","","","","","","Irrelevant","","","","","","",""
