text,label_Irrelevant,label_Salafi jihadi,label_Salafi taklidi,max_prob,model_decision,uncertainty_score
"The pro-genocide political class, which contains more atheist and Christian Zionists than Jewish Zionists, is also exploiting the occasion to make disgusting allegations of 'antisemitism' against @ZackPolanski, the Jewish leader of the anti-racist, anti-genocide @TheGreenParty .",0.9683413,0.023264784,0.025123367,0.9683413,Irrelevant,0.46834129999999996
@neepd and this was Israel's involvement in 1954,0.96773607,0.030569796,0.01755066,0.96773607,Irrelevant,0.46773606999999995
"""NEWSFLASH! We're championing new and exciting voices in the world of food

With just one week to go, enter the Food Season Awards 2025 with special guest judge @BegumNadiya.

Enter now: 

Supported by @vittlesmagazine, sponsored by @miele",0.27362776,0.020118432,0.7481408,0.7481408,Salafi taklidi,0.22637224
"""For those craving more flavour in their life, and less time in the kitchen.

@BegumNadiyas newest cookbook #CookOnceEatTwice is full of creative and delicious recipes that prioritise cost and efficiency without forfeiting any of the taste.

Available at:",0.86583996,0.013395602,0.15568069,0.86583996,Irrelevant,0.34431931
"""We chatted to chef and author Nadiya Hussain (@BegumNadiya) about her new cookbook Cook Once, Eat Twice.",0.96902585,0.016797094,0.03942651,0.96902585,Irrelevant,0.46057349000000003
"""Turns out, @BegumNadiya just really, really loves crisps  

Pick up a copy of this week's #RadioTimes magazine for our full feature and photoshoot with Nadiya - on sale now.",0.95287645,0.016765034,0.05193027,0.95287645,Irrelevant,0.44806973
"""Nadiyas ultimate guide to getting the most out of your time spent in the kitchen  all with her signature twist on flavour!

Discover how easy it is to stretch your meals, reduce your waste and make life simpler, so you always have satisfying food at your fingertips

@BegumNadiyas #CookOnceEatTwice is out now:",0.89513534,0.012158792,0.10939243,0.89513534,Irrelevant,0.39060757
"""""I told my husband to tell Bake Off that I had died"" 

Bake Off star @BegumNadiya speaks to Ryan Tubridy about her career, new book and TV Show, 'Cook Once, Eat Twice'

 Watch the full interview:  

#GBBO #VirginRadioUK",0.5432852,0.017462762,0.7132472,0.7132472,Salafi taklidi,0.043285200000000024
"""Nadiya Hussain recalls The Great British Bake Off nerves - 'I had to fight myself to get there'




@BegumNadiya #GBBO  #TheRyanTubridyShow #VirginRadioUK",0.93599606,0.022408865,0.036846202,0.93599606,Irrelevant,0.43599606
"""In this week's Radio Times magazine, Nadiya Hussain discusses growing up in a second-generation British Bangladeshi family, the rise in food waste across the UK and being awarded her MBE.

Pick up a copy - on sale now.

Photographer: @JudeEdginton",0.8892642,0.012139706,0.119046405,0.8892642,Irrelevant,0.38095359500000003
"""Successful trip to @ChatsworthHouse for  @BegumNadiya this weekend - not long to her new book &amp; series launch Cook Once, Eat Twice.
#bbc2  @MichaelJBooks",0.3942349,0.016508996,0.712908,0.712908,Salafi taklidi,0.1057651
"Hey everyone! The Short Tail Trail has taken over Luton in support of Keech Hospice Care! By joining the trail, youre enjoying a great day out and helping Keech provide vital services to those with life-limiting illnesses.

 #ShortTailTrail #HoponBoard #TakeaShelfie",0.96787304,0.015959324,0.042414248,0.96787304,Irrelevant,0.457585752
"Is there anything better than a biryani for feeding a crowd? This Eid, Im reaching for this recipe from my Simple Spices book. Its easy, comforting and delicious, with a sweetness from those gorgeous leeks! 

#Eid #MealIdeas #Celebrate #GoodTimes #NadiyasSimpleSpices",0.9664337,0.020448372,0.05130468,0.9664337,Irrelevant,0.44869532
