"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"1805731462315901432","One of the beautiful things Sh Muhammad alBanna rahimahullah said to me is ""inshaaAllah we will meet in Jannah and we will remember the good there.""

In 1995 he was the best we had in Jeddah.
He was teaching Tafseer ibn Katheer, Mukhtasar Saheeh Muslim and Umdatul Ahkaam.","en","Retweet","Dr. Abdulilah Lahmami","Abdulilah_UK","16582","10","198","2","426","38","2024-06-26 01:35:04","https://x.com/Abdulilah_UK/status/1805731462315901432","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1975897392928162161","Nurelhuda programme
Children busy with learning. 
Blessing from Allah. May Allah accept. https://t.co/l5uxXgsVnH","en","Retweet","Dr. Abdulilah Lahmami","Abdulilah_UK","7215","0","45","0","117","10","2025-10-08 15:13:43","https://x.com/Abdulilah_UK/status/1975897392928162161","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G2vMJEBWsAAqv4n.jpg"
"2010951108592595117","Recommended Playlist Videos for Learning Fiqh - Abdulilah Lahmami @Abdulilah_UK 

https://t.co/HZDvfYyfjL","en","Retweet","Salafi Audio UNLIMITED","SalafiAudioULTD","2421","0","25","0","30","16","2026-01-13 07:44:40","https://x.com/SalafiAudioULTD/status/2010951108592595117","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://sau.posthaven.com/recommended-playlist-videos-for-learning-fiqh-abdulilah-lahmami","",""
"2010813751969112474","[الذّاكرُ لله تعالى في سائرِ البِقاع يكثُر شُهودُه] 
عدّدَ الإمامُ ابنُ القيّم فوائدَ ذِكر الله تعالى،منها:""الحاديةُ والسّبعون:
أنّ في دَوامِ الذِّكْرِ في الطّريقِ والبيتِ والحضَرِ والسّفرِوالبِقَاعِ؛تكثيرَ الشُّهودِ للعبدِ يومَ القِيامة؛فإنّ البُقعةَ والدّارَ والجَبلَ والأرضَ تَشْهدُ للذَّاكِرِ يومَ القِيامةِ...والذّاكِرُ لله عزّوجلّ
 في سائرِالبِقاعِ يَكْثُرُ شُهُودُه،ولعلَّهم أو أكثرهم أنْ يُقبَلوا يومَ قِيامِ الأشهادِ،وأداءِ الشّهاداتِ؛فيَفرحُ ويَغتبِطُ بشهادتِهم""
(الوابل الصَّيّب)(١٩٧-١٩٨)","ar","Retweet","أ.د. عبدالله البخاري","dr_albukhary","6236","2","80","1","152","11","2026-01-12 22:38:52","https://x.com/dr_albukhary/status/2010813751969112474","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2010085932234678742","The Path to Allāh and the Hereafter 

By Imām 'Abdur Rahmān bin Nāsir as-S'adī (d.1376AH), may Allāh have mercy upon him. 

Beautiful lines of poetry on the believer's journey back to Allāh and how they traverse that path.

https://t.co/mnQ5urxRfI https://t.co/yYxRAOa0tV","ro","Retweet","Markaz Mu’aadh","MarkazMuaadh","5979","1","61","0","116","33","2026-01-10 22:26:46","https://x.com/MarkazMuaadh/status/2010085932234678742","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","https://youtu.be/2HNRomlQfDU?si=SFgkHjs7niJ8UgVW","video","https://video.twimg.com/ext_tw_video/2010085893810380800/pu/vid/avc1/848x478/qWU8CUaM2JQW4ol4.mp4?tag=19"
"2010608203860775370","Purification... https://t.co/VaDY8ByJoY","en","Tweet","Dr. Abdulilah Lahmami","Abdulilah_UK","3558","0","24","0","57","8","2026-01-12 09:02:05","https://x.com/Abdulilah_UK/status/2010608203860775370","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-b7D07W0AASGLY.jpg"
"2010477929680032194","قال الشَّوكاني - رحمه الله -:
مَن أراد الاستكثار مِن فضل الله مِن 
الحسنات؛ فليقل:
*(اللَّهمَّ اغفر للمؤمنين والمؤمنات)*
*فإنَّه يُكتب له مِن الحسنات؛*
*ما لا يحيط به حصرٌ ولا يتصوَّره فكرٌ*
*وفضل الله واسعٌ.*
  تحفة الذَّاكرين (384) ]
Supplicate for the believers","ar","Tweet","Dr. Abdulilah Lahmami","Abdulilah_UK","5510","0","39","0","83","11","2026-01-12 00:24:25","https://x.com/Abdulilah_UK/status/2010477929680032194","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"1989817009089962009","The Mercy of Allah: https://t.co/03ylgnqZxm","en","Retweet","Dr. Abdulilah Lahmami","Abdulilah_UK","11410","2","131","0","310","48","2025-11-16 00:05:18","https://x.com/Abdulilah_UK/status/1989817009089962009","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G50_-O5XAAARlB_.jpg"
"2009109476817948883","Abandoning Differing Is From Good Islamic Character | Shaykh Al-Albani

https://t.co/ddnPwrZRq6 

____  

For Islamic reminders, benefits &amp; cancellations (WhatsApp):
https://t.co/322OIAhI09

Masjid Appeal – Support DuSunnah’s move:
https://t.co/eVY1KiwEXF","en","Retweet","Daar us Sunnah","DaarusSunnah","7312","0","42","0","72","14","2026-01-08 05:46:41","https://x.com/DaarusSunnah/status/2009109476817948883","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","https://www.youtube.com/watch?v=HLE-JuwG9Ds
https://chat.whatsapp.com/Cx2CB4CXmdmGiO8vQ1pr1Y
http://dusmasjidappeal.com","",""
"2009083189512503670","#فوائد من كتاب 
""تكحيل العينين بشرح عقيدة الرازيين""
لشيخنا رحمه الله تعالى 
▪️قناة شيخنا -رحمه الله- عبر [التيليجرام] ⬇️: 
https://t.co/PSsotw54bX
نسأل الله تعالى للجميع الانتفاع بالعلم النافع والتوفيق للعمل الصالح📚 https://t.co/3gH7Dk1upK","ar","Retweet","الشيخ عبيد الجابري","SHObaidAljabree","2949","0","16","0","26","3","2026-01-08 04:02:13","https://x.com/SHObaidAljabree/status/2009083189512503670","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#فوائد","http://t.me/ShobaidAljabree","photo","https://pbs.twimg.com/media/G-GydIvXAAAn9Ug.jpg"
