"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"1805731462315901432","One of the beautiful things Sh Muhammad alBanna rahimahullah said to me is ""inshaaAllah we will meet in Jannah and we will remember the good there.""

In 1995 he was the best we had in Jeddah.
He was teaching Tafseer ibn Katheer, Mukhtasar Saheeh Muslim and Umdatul Ahkaam.","en","Retweet","Dr. Abdulilah Lahmami","Abdulilah_UK","16595","10","198","2","426","38","2024-06-26 01:35:04","https://x.com/Abdulilah_UK/status/1805731462315901432","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2011169890120712228","Daniel is now quoting and trusting Khamenei.

Subhan Allah. This speaks for itself.

Any so-called Sunni who shares a platform with such a person is a disgrace.

They curse Aisha, as it is documented in their own books.

Taqiyyah 101.","en","Retweet","Hikmah Publications","hikmahpubs","13866","7","86","0","247","23","2026-01-13 22:14:02","https://x.com/hikmahpubs/status/2011169890120712228","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2010772446102606251","Whoever reads the Quran and respects it will find:

The greatest affair in the Quran is the right of Allah: to be singled out with all worship.

“Know that none has the right to be worshipped except Allah.”

Shaykh Al-‘Allamah Salih Āl al-Shaykh https://t.co/U1aX8oCRVJ","en","Retweet","Hikmah Publications","hikmahpubs","11199","2","180","0","461","63","2026-01-12 19:54:44","https://x.com/hikmahpubs/status/2010772446102606251","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2010772304502960128/vid/avc1/1180x648/murqSP3xiVqRKHzz.mp4?tag=21"
"2009901034705977545","This man is, Shaykh Ṣāliḥ ibn ʿAbd al-ʿAzīz Āl-Shaykh.

He was mentioned amongst those who carry  the flag of al-Jarḥ wa al-Taʿdīl. Those who Allah has granted  understanding of the religion in general and understanding in calling to Allah, along with insight into major contemporary events (al-nawāzil)

- al-Ajwībat Athrīyah an al-Masā'il al-Manhajiyyāh, p.59 of Shaykh Zayd ibn Muḥammad al-Madkhalī","ca","Retweet","Salah al-Iranee","SalahIranee","22657","2","51","2","220","102","2026-01-10 10:12:03","https://x.com/SalahIranee/status/2009901034705977545","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2009026752123650206","Q’s : What are the virtues of making Umrah in Ramadhān ? 
Hadith States Making Umrah in Ramadhān has the reward equivalent to making Hajj with the Prophet ﷺ
Also this Ramadhan Umrah trip falls in the school holidays so take advantage of this opportunity! 
Call 
 📞07966 544260 https://t.co/W7DK2fXBYt","en","Retweet","Taqwa Travels","taqwatravels","859","2","3","0","8","2","2026-01-08 00:17:58","https://x.com/taqwatravels/status/2009026752123650206","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2009026686910693376/vid/avc1/640x364/JqwXnf5LlsOlWJpv.mp4?tag=21"
"2008901444578226363","How did Music start? https://t.co/TGjui3dYUI","en","Retweet","Salah al-Iranee","SalahIranee","7079","3","55","1","217","85","2026-01-07 16:00:02","https://x.com/SalahIranee/status/2008901444578226363","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/G-CfNfIXQAE3VjF.jpg"
"2005426825355579842","May Allah reward the community @GtownMasjid generally and Shaykh Hassan as-Somāli @hikmahpubs specifically for the beneficial gatherings this last week. 

Especially commendable was the selection of the topic, The Disease and it's Cure by al-Imām Ibn Qayyim, may Allah have mercy upon him. The week was filled with  beautiful reminders and benefits. May Allah reward the speakers and the organizers.","en","Retweet","Kashiff Khan","AbuHafsahKK","7174","3","67","0","181","7","2025-12-29 01:53:08","https://x.com/AbuHafsahKK/status/2005426825355579842","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2006134191507767308","Innā lillāhi-wa-innā-ilayhi-rāji’ūn.

We all say or read this statement when someone has passed away, but how many of us reflect and know its meaning, and what it necessitates? https://t.co/jB1O1xjR5s","en","Retweet","Markaz Mu’aadh","MarkazMuaadh","17848","3","290","1","702","192","2025-12-31 00:43:58","https://x.com/MarkazMuaadh/status/2006134191507767308","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G9c2DvzXoAEyw9c.jpg"
"1897263545609543738","Too busy to read? And still haven’t studied the important fundamental works? Or need help memorising the text? 

Then download & listen to them!

AudioBook list

https://t.co/jXQ9CZRSk7 Qawaa’idul Arba’ah (The 4 Principles)
https://t.co/s2kK0GcJQr Usooluth Thalaatha (The 3 Fundamentals)
3.Masaa’ilul Jaahiliyah (The Issues from Pre-Islām)
4.The 10 Nullifiers of Islam
5.Kitaabut Tawheed (7/7)
6.Kashfush Shubuhaat (Removing the doubts)
7.Aqeedatur Raazi’ain
https://t.co/n6q3YutSgL Aqeedatul Waasitiyah (2/2)
https://t.co/9bxOeRfkzJ Aqeedatut Tahaawiyah
10.Sharhus Sunnah (Explanation of the Creed) of Imām Barbaāari (3/3)
https://t.co/8HsILP7Bzz Haa’iyah
https://t.co/XWl19D2A2p Laamiyah
13.40 Hadeeth (+ 8 Hadīth added by Ibn Rajab)
14.The Prophet’s Prayer Described
15.Description of the Wudhu of the Prophet ﷺ 
16.Usoolus Sunnah (Foundations of the Sunnah) of Imaam Ahmad
17.Fortress of the Believer (Supplications)

https://t.co/R6ZAzjXxgz","en","Retweet","Abu Hakeem Bilal","AbuHakeemBilal","109435","31","624","10","1011","879","2025-03-05 14:30:53","https://x.com/AbuHakeemBilal/status/1897263545609543738","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","http://1.Al
http://2.Al","",""
"1476908543668334594","Abū Ḥātim al-Rāzī (d. 277H) traveled more than 4000 miles on foot in pursuit of Islamic knowledge. He stopped counting his footsteps after that. 

Look at the sincerity and dedication of the Salaf.

Some of us make excuses why we can’t drive 20 minutes to attend lessons. https://t.co/PJ1s5w9L1c","en","Retweet","Hikmah Publications","hikmahpubs","","5","225","2","369","35","2021-12-31 15:30:11","https://x.com/hikmahpubs/status/1476908543668334594","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/FH8IfZCXsAADszj.jpg
https://pbs.twimg.com/media/FH8IfZAWUAAO4ig.jpg"
"2005679224896589902","From Allah we belong to Allah we return, sad shocking news about the death of our dear brother Abdul-Latif resulting from a car crash, May Allah have mercy on him and grant him Jannah,make this difficult time easy for his family.wish a speedy recovery for the champ @anthonyjoshua https://t.co/LEVv20vyZu","en","Retweet","Mutah Beale مطاع بيل","MutahNapoleon","120983","66","409","7","3837","79","2025-12-29 18:36:05","https://x.com/MutahNapoleon/status/2005679224896589902","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/G9Wan4gXkAk-BJf.jpg"
"1128037744939347974","Siddeeq Hasan Khan rahimahullah said:

Truth is known from whomsoever has gathered five attributes, the greatest of them is sincerity, understanding, justice, striving to know the truth and striving much to call to it.

 (Qatfu Thamr fi Bayaan 'Aqeedati Ahlil Athar p.175)","en","Retweet","Dr. Abdulilah Lahmami","Abdulilah_UK","","3","236","1","298","30","2019-05-13 23:42:10","https://x.com/Abdulilah_UK/status/1128037744939347974","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
