text,label_Salafi jihadi,label_Salafi taklidi,label_Irrelevant,max_prob,model_decision
"""Shaykh Al Islam, the Imam of the Imams, Ibn Khuzaymah Al-Shfii Al-Wahhbiyy (d. 311 AH) said about the quoted Mushrik fellow and his Jahmi cult:

Whoever does not affirm that Allah the Mighty and Majestic has Rose above His Throne above His seven heavens  he is a disbeliever in his Lord, his blood is lawful. He is to be called to repent; if he repents, well and good, otherwise his neck is to be struck, and he is to be thrown onto some of the rubbish heaps so that neither the Muslims nor the dhimms are harmed by the putrid stench of his corpse. And his wealth becomes fay  no Muslim inherits from him, for a Muslim does not inherit from a disbeliever, as the Prophet  said: A Muslim does not inherit from a disbeliever, nor a disbeliever from a Muslim.""",0.999084,0.0008941376,2.1920312e-05,0.999084,Salafi jihadi
"""1) The referenced tweet is in the context of Gaza being slaughtered by the apes and swines. In response to this Zindiqs scholars dishing out satanic fatwas that no one is allowed to help them physically without the rulers permission. Open up a book of Fiqh and read about   you Zindq. Already exposed the ignorance of these Zanadiqa here: 

2) Again, hes talking about the Jihad of the Palestinians against Israel, and you bring statements of Al-Hafidh Ibn Hajar about the Qadiyyah, to try and prove hes inciting against the ruler. So youre implying Israel is the ruler who is to be obeyed and not rebelled against, nor spoken against, nor incited against? Great refutation and self expos of you being a now out of the closet Zionist. Lol

3) You Zanadiqa MBS/MBZ worshippers cant tell the difference between an actual sinful Muslim ruler and a Taghut whom Allah conditions our Islam with Hating and Rejecting, and in turn apply the rights of the former on the latter.

4) You Zanadiqa have yet to bring a single incident from the Salaf, of your applied understanding. Bring a SINGLE instance, where a Muslim ruler (let alone a Kafir like we have nowadays), was criticized for open Fisq he was committing, whether in front of his face, or behind his back, and the Salaf called the one who criticizing him a Khariji. Ill wait, and this is an open challenge. Unless youre implying Islam was missing this crucial applied understanding for 1400+ years, until spubs came along in junction with Prevent (UK Gov agency) to show us the way of the salaf. Lol

5) Ive brought multiple instances of Salaf criticizing to the rulers face, behind the rulers back, and even making Takfir of rulers behind their back here: 

6) Not a single one of you minions has brought forth his statements in their appropriate context (ever), and refuted it academically. You just rely on others being as incompetent as you.

7) This is all coming from an Abu Khadeejah fanboy mind you, who is viewed as a scholar according to these morons. A guy whom my 4 year old   can recite better Quran than. 

The Jahmis and Madkhalis are in a close race to win out, who is the most intellectually brain dead group ascribing itself to Islam. The new age Madkhalis are making a strong case to be honest.""",0.025157712,0.0005992667,0.974243,0.974243,Irrelevant
"""Having Pride in Teachings of Islam 

Shaykh Ahmad Musa Jibril",0.33020264,0.6274189,0.042378493,0.6274189,Salafi taklidi
"""This moronic kid doesnt realize that the stupid kid who makes Takfir of Shaykh Al Islam Ibn Taymiyyah, did so because he shares the same understanding of Ibn Taymiyyah as this moronic Madkhali. Both believe that Ibn Taymiyyah gives excuse of ignorance in the label of a Mushrik, and thats factually not the case, and Ive proven that multiple times in my videos. Shaykh Al Islam is explicit that the label of Mushrik is given even before Rislah, which is even more unaware of a state, than an ignorant person whos heard the Quran.

Whether ignorance is a valid excuse not to apply the Hukm of Takfir, is an Ikhtilaf the Scholars do have. Takfir as a term is a Hukm Sharii, hence you see Udhr bil Jahl being discussed with respect to it.

Both of the aforementioned morons have the same understanding in reality, however one due to his idiocy and Ghulu led him down an extreme path, and one due to his idiocy and Irja led him on an opposite and equally extreme path. 

Both are gateways to Zandaqa, and we ask Allah for Salamah.""",0.00023339904,0.0009012823,0.99886537,0.99886537,Irrelevant
"""Why the Hanafs consider the opening takbr a condition of the prayer as opposed to the majority who consider it a pillar?

Gems of Fiqh, from Shaykh Abdul Karm al-Khudayrs dars on the Description of the Prophets Prayer.",4.092578e-05,0.99544406,0.004514973,0.99544406,Salafi taklidi
"""How the Najdi scholars refuted the extremists

In the name of Allah, the Most Merciful, the Bestower of Mercy.

From: Abd al-Laf ibn Abd al-Ramn ibn asan
To: Abd al-Azz al-Khab

Peace be upon those who follow guidance, and upon the righteous servants of Allah.

To proceed:

I have read your letter and understood its contents, and what you intended by way of apology. However, you erred in your statement that what our shaykh, the father, denounced, namely your declaring the people of truth to be disbelievers, and your belief that you are correct, when you denied it.

You mentioned that your brothers from al-Naq are disputing with you and are arguing with you concerning us, and that they say that we have been silent regarding certain matters. And you know that they often mention this to attack our creed and to criticize our methodology. Even if they do not explicitly make Takfeer, they have approached its borders. So we seek refuge in Allah from misguidance after being upon guidance, from deviating away from the path of rectitude, and from blindness.

I witnessed, in the year 64, two men resembling you who were among the renegades in al-As. They abandoned the Friday prayer and the congregational prayer, and declared the Muslims of that land to be disbelievers. Their argument was similar to yours. They said: The people of al-As sit with Ibn Fayrz and mix with him and others like him, those who did not reject the ght by disbelieving in it, nor explicitly declare his grandfather to be a disbeliever who rejected the call of Shaykh Muammad, and did not accept it, and instead opposed it.

They both said: Whoever does not explicitly declare him to be a disbeliever is himself a disbeliever in Allah and has not rejected the ght by disbelieving in it. And whoever sits with him is like him. And upon these two false and misguided premises, they built rulings implying clear apostasy, such that they even abandoned returning greetings of Salam.

Their matter was raised to me, so I summoned them, threatened them, and spoke harshly to them. At first, they claimed that they were upon the creed of Shaykh Muammad ibn Abd al-Wahhb, and that his letters were with them. So I clarified their errors and refuted their misconceptions with what I had in that gathering.

I informed them that Shaykh Muammad is free from this belief and this path, and that he does not declare anyone to be a Kaafir except for those matters that the Muslims have unanimously agreed upon that makes one a Kaafir, such as major shirk, or rejecting the verses of Allah and His messengers, or any of that, after the proof has been shown to him and is properly conveyed. Such as making Takfeer on the one who worships the righteous, prays to them alongside Allah, and for making them His rivals in what He alone deserves in worship and authority over the creation.

This is agreed upon by the people of knowledge and faith. Every group among the followers of the various upheld Mazhabs has devoted a major chapter to this issue, mentioning its rulings, and that which causes apostasy and its implications, and explicitly mentioning Shirk. Ibn ajar even singled out this issue in a book he titled: al-Ilm bi-Qawi al-Islm (Informing about the Nullifiers of Islam).

These two Persians later showed repentance and remorse and claimed that the truth had become clear to them. Then they went to the coast and returned to that same doctrine. It reached us that they declared the leaders of the Muslims to be Kaafirs for communicating with the Egyptian rulers. Rather, they even declared as disbelievers those among the Muslim scholars who associated with those who communicated with them. We seek refuge in Allah from misguidance after being upon guidance and from relapse after rectitude.

We have also been informed about similar matters regarding you. And that you ....

Continued  """,2.972122e-05,0.0011658927,0.99880433,0.99880433,Irrelevant
"""What Shaykh Abu Mundhir ash Shanqiti said about those who allow US embassies, is equally true about those who allow Jewish embassies:

""As for the situation where America kills whichever Muslims it pleases, occupies whichever Muslim lands it pleases, violates honor, desecrates sanctities, and dishonors Islamic sacred things, and yet certain states in Muslim lands maintain relations, exchange ambassadors with it, and enable it to achieve its interests in Muslim lands as if it were any other peaceful, non-belligerent state, this amounts to allying with it in its war against Islam and assisting it in fighting Muslims.""""",0.99966145,1.9326535e-05,0.00031928206,0.99966145,Salafi jihadi
""" Muhammad Uzayr Shams, diteur de manuscrits reconnu, ayant publi plusieurs ouvrages dibn al-Qayyim, a rdig une lettre pour trouver un garant en Arabie saoudite afin de ne pas tre contraint de retourner en Inde, o il avait dj subi des injustices  plusieurs reprises.",0.01892303,0.0002724693,0.9808045,0.9808045,Irrelevant
"""""You'll never find a man saying Red pill and misogyny is kuffr btw""
""
--------------

Feminism in of itself is a ideological movement that can lead to kufr (Hadith rejection, Quranic distortion, and insulting Allah) 

Red Pill has always been called kufr by Muslims, and misogyny is a loaded term whose definition can be or cant be kufr",0.2785595,8.0614445e-05,0.72135985,0.72135985,Irrelevant
"""One of the people of knowledge said a while back that the Madkhalis will keep splitting &amp; fighting each other until there is no one left on the Manhaj. This is what we see today, constant internal refutations &amp; bickering over issues that arent even foundational.""",0.00016078861,0.0005788389,0.99926037,0.99926037,Irrelevant
